      0.01681900      0.01082250     -0.84053072     -0.54176388
      0.01668150      0.01103300     -0.83387845     -0.55194812
      0.01654150      0.01124150     -0.82648067     -0.56296510
      0.01639900      0.01144800     -0.81960558     -0.57292817
      0.01625350      0.01165350     -0.81266068     -0.58273717
      0.01610550      0.01185700     -0.80475533     -0.59360665
      0.01595550      0.01205850     -0.79952242     -0.60063625
      0.01580300      0.01225800     -0.78935222     -0.61394061
      0.01564750      0.01245550     -0.78202932     -0.62324164
      0.01548950      0.01265100     -0.77342415     -0.63388886
      0.01532950      0.01284450     -0.76789505     -0.64057567
      0.01516700      0.01303650     -0.75869554     -0.65144538
      0.01500200      0.01322600     -0.74960509     -0.66188534
      0.01483450      0.01341350     -0.74191163     -0.67049768
      0.01466450      0.01359900     -0.73250985     -0.68075643
      0.01449250      0.01378200     -0.72480054     -0.68895876
      0.01431850      0.01396300     -0.71699492     -0.69707839
      0.01414200      0.01414200     -0.70710678     -0.70710678
      0.01396300      0.01431850     -0.69707839     -0.71699492
      0.01378200      0.01449250     -0.68895876     -0.72480054
      0.01359900      0.01466450     -0.68075643     -0.73250985
      0.01341350      0.01483450     -0.67049768     -0.74191163
      0.01322600      0.01500200     -0.66188534     -0.74960509
      0.01303650      0.01516700     -0.65144538     -0.75869554
      0.01284450      0.01532950     -0.64057567     -0.76789505
      0.01265100      0.01548950     -0.63388886     -0.77342415
      0.01245550      0.01564750     -0.62324164     -0.78202932
      0.01225800      0.01580300     -0.61394061     -0.78935222
      0.01205850      0.01595550     -0.60063625     -0.79952242
      0.01185700      0.01610550     -0.59360665     -0.80475533
      0.01165350      0.01625350     -0.58273717     -0.81266068
      0.01144800      0.01639900     -0.57292817     -0.81960558
      0.01124150      0.01654150     -0.56296510     -0.82648067
      0.01103300      0.01668150     -0.55194812     -0.83387845
      0.01082250      0.01681900     -0.54176388     -0.84053072
      0.01061000      0.01695350     -0.52785675     -0.84933342
      0.01039600      0.01708550     -0.52209470     -0.85288752
      0.01018050      0.01721450     -0.50510695     -0.86305676
      0.00996350      0.01734100     -0.50213552     -0.86478895
      0.00974500      0.01746500     -0.48496776     -0.87453203
      0.00952450      0.01758600     -0.47717961     -0.87880579
      0.00930300      0.01770450     -0.46623908     -0.88465876
      0.00908000      0.01782000     -0.45356814     -0.89122160
      0.00885500      0.01793250     -0.44084775     -0.89758190
      0.00862900      0.01804250     -0.43441467     -0.90071299
      0.00840200      0.01814950     -0.41830014     -0.90830887
      0.00817300      0.01825350     -0.40871407     -0.91266248
      0.00794250      0.01835500     -0.39727294     -0.91770050
      0.00771150      0.01845350     -0.38716463     -0.92201060
      0.00747900      0.01854900     -0.37275769     -0.92792872
      0.00724500      0.01864150     -0.36244626     -0.93200467
      0.00701050      0.01873100     -0.35068668     -0.93649285
      0.00677450      0.01881750     -0.33759410     -0.94129178
      0.00653750      0.01890100     -0.32697361     -0.94503347
      0.00629950      0.01898150     -0.31384315     -0.94947484
      0.00606050      0.01905900     -0.30303907     -0.95297813
      0.00582050      0.01913350     -0.28989718     -0.95705780
      0.00557950      0.01920550     -0.28259728     -0.95923865
      0.00533800      0.01927450     -0.26682218     -0.96374578
      0.00509550      0.01934000     -0.25468918     -0.96702297
      0.00485200      0.01940250     -0.24253563     -0.97014250
      0.00460750      0.01946200     -0.23036741     -0.97310372
      0.00436250      0.01951800     -0.21524196     -0.97656075
      0.00411700      0.01957100     -0.20681217     -0.97838066
      0.00387100      0.01962150     -0.19534940     -0.98073371
      0.00362400      0.01966850     -0.17853629     -0.98393333
      0.00337650      0.01971250     -0.17150950     -0.98518247
      0.00312900      0.01975350     -0.15534890     -0.98785967
      0.00288050      0.01979100     -0.14309054     -0.98970960
      0.00263150      0.01982550     -0.13138134     -0.99133190
      0.00238200      0.01985700     -0.11914522     -0.99287684
      0.00213200      0.01988550     -0.10737560     -0.99421853
      0.00188200      0.01991100     -0.09556067     -0.99542361
      0.00163200      0.01993300     -0.07974522     -0.99681528
      0.00138150      0.01995200     -0.07152945     -0.99743849
      0.00113050      0.01996800     -0.05569033     -0.99844809
      0.00087950      0.01998050     -0.04378268     -0.99904108
      0.00062850      0.01999000     -0.03185633     -0.99949246
      0.00037700      0.01999600     -0.01587102     -0.99987405
      0.00012550      0.01999900     -0.00796787     -0.99996826
     -0.00012550      0.01999900      0.00796787     -0.99996826
     -0.00037700      0.01999600      0.01587102     -0.99987405
     -0.00062850      0.01999000      0.03185633     -0.99949246
     -0.00087950      0.01998050      0.04378268     -0.99904108
     -0.00113050      0.01996800      0.05569033     -0.99844809
     -0.00138150      0.01995200      0.07152945     -0.99743849
     -0.00163200      0.01993300      0.07974522     -0.99681528
     -0.00188200      0.01991100      0.09556067     -0.99542361
     -0.00213200      0.01988550      0.10737560     -0.99421853
     -0.00238200      0.01985700      0.11914522     -0.99287684
     -0.00263150      0.01982550      0.13138134     -0.99133190
     -0.00288050      0.01979100      0.14309054     -0.98970960
     -0.00312900      0.01975350      0.15534890     -0.98785967
     -0.00337650      0.01971250      0.17150950     -0.98518247
     -0.00362400      0.01966850      0.17853629     -0.98393333
     -0.00387100      0.01962150      0.19534940     -0.98073371
     -0.00411700      0.01957100      0.20681217     -0.97838066
     -0.00436250      0.01951800      0.21524196     -0.97656075
     -0.00460750      0.01946200      0.23036741     -0.97310372
     -0.00485200      0.01940250      0.24253563     -0.97014250
     -0.00509550      0.01934000      0.25468918     -0.96702297
     -0.00533800      0.01927450      0.26682218     -0.96374578
     -0.00557950      0.01920550      0.28259728     -0.95923865
     -0.00582050      0.01913350      0.28989718     -0.95705780
     -0.00606050      0.01905900      0.30303907     -0.95297813
     -0.00629950      0.01898150      0.31384315     -0.94947484
     -0.00653750      0.01890100      0.32697361     -0.94503347
     -0.00677450      0.01881750      0.33759410     -0.94129178
     -0.00701050      0.01873100      0.35068668     -0.93649285
     -0.00724500      0.01864150      0.36244626     -0.93200467
     -0.00747900      0.01854900      0.37275769     -0.92792872
     -0.00771150      0.01845350      0.38716463     -0.92201060
     -0.00794250      0.01835500      0.39727294     -0.91770050
     -0.00817300      0.01825350      0.40871407     -0.91266248
     -0.00840200      0.01814950      0.41830014     -0.90830887
     -0.00862900      0.01804250      0.43441467     -0.90071299
     -0.00885500      0.01793250      0.44084775     -0.89758190
     -0.00908000      0.01782000      0.45356814     -0.89122160
     -0.00930300      0.01770450      0.46623908     -0.88465876
     -0.00952450      0.01758600      0.47717961     -0.87880579
     -0.00974500      0.01746500      0.48496776     -0.87453203
     -0.00996350      0.01734100      0.50213552     -0.86478895
     -0.01018050      0.01721450      0.50510695     -0.86305676
     -0.01039600      0.01708550      0.52209470     -0.85288752
     -0.01061000      0.01695350      0.52785675     -0.84933342
     -0.01082250      0.01681900      0.54176388     -0.84053072
     -0.01103300      0.01668150      0.55194812     -0.83387845
     -0.01124150      0.01654150      0.56296510     -0.82648067
     -0.01144800      0.01639900      0.57292817     -0.81960558
     -0.01165350      0.01625350      0.58273717     -0.81266068
     -0.01185700      0.01610550      0.59360665     -0.80475533
     -0.01205850      0.01595550      0.60063625     -0.79952242
     -0.01225800      0.01580300      0.61394061     -0.78935222
     -0.01245550      0.01564750      0.62324164     -0.78202932
     -0.01265100      0.01548950      0.63388886     -0.77342415
     -0.01284450      0.01532950      0.64057567     -0.76789505
     -0.01303650      0.01516700      0.65144538     -0.75869554
     -0.01322600      0.01500200      0.66188534     -0.74960509
     -0.01341350      0.01483450      0.67049768     -0.74191163
     -0.01359900      0.01466450      0.68075643     -0.73250985
     -0.01378200      0.01449250      0.68895876     -0.72480054
     -0.01396300      0.01431850      0.69707839     -0.71699492
     -0.01414200      0.01414200      0.70710678     -0.70710678
     -0.01431850      0.01396300      0.71699492     -0.69707839
     -0.01449250      0.01378200      0.72480054     -0.68895876
     -0.01466450      0.01359900      0.73250985     -0.68075643
     -0.01483450      0.01341350      0.74191163     -0.67049768
     -0.01500200      0.01322600      0.74960509     -0.66188534
     -0.01516700      0.01303650      0.75869554     -0.65144538
     -0.01532950      0.01284450      0.76789505     -0.64057567
     -0.01548950      0.01265100      0.77342415     -0.63388886
     -0.01564750      0.01245550      0.78202932     -0.62324164
     -0.01580300      0.01225800      0.78935222     -0.61394061
     -0.01595550      0.01205850      0.79952242     -0.60063625
     -0.01610550      0.01185700      0.80475533     -0.59360665
     -0.01625350      0.01165350      0.81266068     -0.58273717
     -0.01639900      0.01144800      0.81960558     -0.57292817
     -0.01654150      0.01124150      0.82648067     -0.56296510
     -0.01668150      0.01103300      0.83387845     -0.55194812
     -0.01681900      0.01082250      0.84053072     -0.54176388
     -0.01695350      0.01061000      0.84933342     -0.52785675
     -0.01708550      0.01039600      0.85288752     -0.52209470
     -0.01721450      0.01018050      0.86305676     -0.50510695
     -0.01734100      0.00996350      0.86478895     -0.50213552
     -0.01746500      0.00974500      0.87453203     -0.48496776
     -0.01758600      0.00952450      0.87880579     -0.47717961
     -0.01770450      0.00930300      0.88465876     -0.46623908
     -0.01782000      0.00908000      0.89122160     -0.45356814
     -0.01793250      0.00885500      0.89758190     -0.44084775
     -0.01804250      0.00862900      0.90071299     -0.43441467
     -0.01814950      0.00840200      0.90830887     -0.41830014
     -0.01825350      0.00817300      0.91266248     -0.40871407
     -0.01835500      0.00794250      0.91770050     -0.39727294
     -0.01845350      0.00771150      0.92201060     -0.38716463
     -0.01854900      0.00747900      0.92792872     -0.37275769
     -0.01864150      0.00724500      0.93200467     -0.36244626
     -0.01873100      0.00701050      0.93649285     -0.35068668
     -0.01881750      0.00677450      0.94129178     -0.33759410
     -0.01890100      0.00653750      0.94503347     -0.32697361
     -0.01898150      0.00629950      0.94947484     -0.31384315
     -0.01905900      0.00606050      0.95297813     -0.30303907
     -0.01913350      0.00582050      0.95705780     -0.28989718
     -0.01920550      0.00557950      0.95923865     -0.28259728
     -0.01927450      0.00533800      0.96374578     -0.26682218
     -0.01934000      0.00509550      0.96702297     -0.25468918
     -0.01940250      0.00485200      0.97014250     -0.24253563
     -0.01946200      0.00460750      0.97310372     -0.23036741
     -0.01951800      0.00436250     -0.97656075      0.21524196
     -0.01957100      0.00411700     -0.97838066      0.20681217
     -0.01962150      0.00387100     -0.98073371      0.19534940
     -0.01966850      0.00362400     -0.98393333      0.17853629
     -0.01971250      0.00337650     -0.98518247      0.17150950
     -0.01975350      0.00312900     -0.98785967      0.15534890
     -0.01979100      0.00288050     -0.98970960      0.14309054
     -0.01982550      0.00263150     -0.99133190      0.13138134
     -0.01985700      0.00238200     -0.99287684      0.11914522
     -0.01988550      0.00213200     -0.99421853      0.10737560
     -0.01991100      0.00188200     -0.99542361      0.09556067
     -0.01993300      0.00163200     -0.99681528      0.07974522
     -0.01995200      0.00138150     -0.99743849      0.07152945
     -0.01996800      0.00113050     -0.99844809      0.05569033
     -0.01998050      0.00087950     -0.99904108      0.04378268
     -0.01999000      0.00062850     -0.99949246      0.03185633
     -0.01999600      0.00037700     -0.99987405      0.01587102
     -0.01999900      0.00012550     -0.99996826      0.00796787
     -0.01999900     -0.00012550     -0.99996826     -0.00796787
     -0.01999600     -0.00037700     -0.99987405     -0.01587102
     -0.01999000     -0.00062850     -0.99949246     -0.03185633
     -0.01998050     -0.00087950     -0.99904108     -0.04378268
     -0.01996800     -0.00113050     -0.99844809     -0.05569033
     -0.01995200     -0.00138150     -0.99743849     -0.07152945
     -0.01993300     -0.00163200     -0.99681528     -0.07974522
     -0.01991100     -0.00188200     -0.99542361     -0.09556067
     -0.01988550     -0.00213200     -0.99421853     -0.10737560
     -0.01985700     -0.00238200     -0.99287684     -0.11914522
     -0.01982550     -0.00263150     -0.99133190     -0.13138134
     -0.01979100     -0.00288050     -0.98970960     -0.14309054
     -0.01975350     -0.00312900     -0.98785967     -0.15534890
     -0.01971250     -0.00337650     -0.98518247     -0.17150950
     -0.01966850     -0.00362400     -0.98393333     -0.17853629
     -0.01962150     -0.00387100     -0.98073371     -0.19534940
     -0.01957100     -0.00411700     -0.97838066     -0.20681217
     -0.01951800     -0.00436250     -0.97656075     -0.21524196
     -0.01946200     -0.00460750     -0.97310372     -0.23036741
     -0.01940250     -0.00485200     -0.97014250     -0.24253563
     -0.01934000     -0.00509550     -0.96702297     -0.25468918
     -0.01927450     -0.00533800     -0.96374578     -0.26682218
     -0.01920550     -0.00557950     -0.95923865     -0.28259728
     -0.01913350     -0.00582050     -0.95705780     -0.28989718
     -0.01905900     -0.00606050     -0.95297813     -0.30303907
     -0.01898150     -0.00629950     -0.94947484     -0.31384315
     -0.01890100     -0.00653750     -0.94503347     -0.32697361
     -0.01881750     -0.00677450     -0.94129178     -0.33759410
     -0.01873100     -0.00701050     -0.93649285     -0.35068668
     -0.01864150     -0.00724500     -0.93200467     -0.36244626
     -0.01854900     -0.00747900     -0.92792872     -0.37275769
     -0.01845350     -0.00771150     -0.92201060     -0.38716463
     -0.01835500     -0.00794250     -0.91770050     -0.39727294
     -0.01825350     -0.00817300     -0.91266248     -0.40871407
     -0.01814950     -0.00840200     -0.90830887     -0.41830014
     -0.01804250     -0.00862900     -0.90071299     -0.43441467
     -0.01793250     -0.00885500     -0.89758190     -0.44084775
     -0.01782000     -0.00908000     -0.89122160     -0.45356814
     -0.01770450     -0.00930300     -0.88465876     -0.46623908
     -0.01758600     -0.00952450     -0.87880579     -0.47717961
     -0.01746500     -0.00974500     -0.87453203     -0.48496776
     -0.01734100     -0.00996350     -0.86478895     -0.50213552
     -0.01721450     -0.01018050     -0.86305676     -0.50510695
     -0.01708550     -0.01039600     -0.85288752     -0.52209470
     -0.01695350     -0.01061000     -0.84933342     -0.52785675
     -0.01681900     -0.01082250     -0.84053072     -0.54176388
     -0.01668150     -0.01103300     -0.83387845     -0.55194812
     -0.01654150     -0.01124150     -0.82648067     -0.56296510
     -0.01639900     -0.01144800     -0.81960558     -0.57292817
     -0.01625350     -0.01165350     -0.81266068     -0.58273717
     -0.01610550     -0.01185700     -0.80475533     -0.59360665
     -0.01595550     -0.01205850     -0.79952242     -0.60063625
     -0.01580300     -0.01225800     -0.78935222     -0.61394061
     -0.01564750     -0.01245550     -0.78202932     -0.62324164
     -0.01548950     -0.01265100     -0.77342415     -0.63388886
     -0.01532950     -0.01284450     -0.76789505     -0.64057567
     -0.01516700     -0.01303650     -0.75869554     -0.65144538
     -0.01500200     -0.01322600     -0.74960509     -0.66188534
     -0.01483450     -0.01341350     -0.74191163     -0.67049768
     -0.01466450     -0.01359900     -0.73250985     -0.68075643
     -0.01449250     -0.01378200     -0.72480054     -0.68895876
     -0.01431850     -0.01396300     -0.71699492     -0.69707839
     -0.01414200     -0.01414200     -0.70710678     -0.70710678
     -0.01396300     -0.01431850     -0.69707839     -0.71699492
     -0.01378200     -0.01449250     -0.68895876     -0.72480054
     -0.01359900     -0.01466450     -0.68075643     -0.73250985
     -0.01341350     -0.01483450     -0.67049768     -0.74191163
     -0.01322600     -0.01500200     -0.66188534     -0.74960509
     -0.01303650     -0.01516700     -0.65144538     -0.75869554
     -0.01284450     -0.01532950     -0.64057567     -0.76789505
     -0.01265100     -0.01548950     -0.63388886     -0.77342415
     -0.01245550     -0.01564750     -0.62324164     -0.78202932
     -0.01225800     -0.01580300     -0.61394061     -0.78935222
     -0.01205850     -0.01595550     -0.60063625     -0.79952242
     -0.01185700     -0.01610550     -0.59360665     -0.80475533
     -0.01165350     -0.01625350     -0.58273717     -0.81266068
     -0.01144800     -0.01639900     -0.57292817     -0.81960558
     -0.01124150     -0.01654150     -0.56296510     -0.82648067
     -0.01103300     -0.01668150     -0.55194812     -0.83387845
     -0.01082250     -0.01681900     -0.54176388     -0.84053072
     -0.01061000     -0.01695350     -0.52785675     -0.84933342
     -0.01039600     -0.01708550     -0.52209470     -0.85288752
     -0.01018050     -0.01721450     -0.50510695     -0.86305676
     -0.00996350     -0.01734100     -0.50213552     -0.86478895
     -0.00974500     -0.01746500     -0.48496776     -0.87453203
     -0.00952450     -0.01758600     -0.47717961     -0.87880579
     -0.00930300     -0.01770450     -0.46623908     -0.88465876
     -0.00908000     -0.01782000     -0.45356814     -0.89122160
     -0.00885500     -0.01793250     -0.44084775     -0.89758190
     -0.00862900     -0.01804250     -0.43441467     -0.90071299
     -0.00840200     -0.01814950     -0.41830014     -0.90830887
     -0.00817300     -0.01825350     -0.40871407     -0.91266248
     -0.00794250     -0.01835500     -0.39727294     -0.91770050
     -0.00771150     -0.01845350     -0.38716463     -0.92201060
     -0.00747900     -0.01854900     -0.37275769     -0.92792872
     -0.00724500     -0.01864150     -0.36244626     -0.93200467
     -0.00701050     -0.01873100     -0.35068668     -0.93649285
     -0.00677450     -0.01881750     -0.33759410     -0.94129178
     -0.00653750     -0.01890100     -0.32697361     -0.94503347
     -0.00629950     -0.01898150     -0.31384315     -0.94947484
     -0.00606050     -0.01905900     -0.30303907     -0.95297813
     -0.00582050     -0.01913350     -0.28989718     -0.95705780
     -0.00557950     -0.01920550     -0.28259728     -0.95923865
     -0.00533800     -0.01927450     -0.26682218     -0.96374578
     -0.00509550     -0.01934000     -0.25468918     -0.96702297
     -0.00485200     -0.01940250     -0.24253563     -0.97014250
     -0.00460750     -0.01946200     -0.23036741     -0.97310372
     -0.00436250     -0.01951800     -0.21524196     -0.97656075
     -0.00411700     -0.01957100     -0.20681217     -0.97838066
     -0.00387100     -0.01962150     -0.19534940     -0.98073371
     -0.00362400     -0.01966850     -0.17853629     -0.98393333
     -0.00337650     -0.01971250     -0.17150950     -0.98518247
     -0.00312900     -0.01975350     -0.15534890     -0.98785967
     -0.00288050     -0.01979100     -0.14309054     -0.98970960
     -0.00263150     -0.01982550     -0.13138134     -0.99133190
     -0.00238200     -0.01985700     -0.11914522     -0.99287684
     -0.00213200     -0.01988550     -0.10737560     -0.99421853
     -0.00188200     -0.01991100     -0.09556067     -0.99542361
     -0.00163200     -0.01993300     -0.07974522     -0.99681528
     -0.00138150     -0.01995200     -0.07152945     -0.99743849
     -0.00113050     -0.01996800     -0.05569033     -0.99844809
     -0.00087950     -0.01998050     -0.04378268     -0.99904108
     -0.00062850     -0.01999000     -0.03185633     -0.99949246
     -0.00037700     -0.01999600     -0.01587102     -0.99987405
     -0.00012550     -0.01999900     -0.00796787     -0.99996826
      0.00012550     -0.01999900      0.00796787     -0.99996826
      0.00037700     -0.01999600      0.01587102     -0.99987405
      0.00062850     -0.01999000      0.03185633     -0.99949246
      0.00087950     -0.01998050      0.04378268     -0.99904108
      0.00113050     -0.01996800      0.05569033     -0.99844809
      0.00138150     -0.01995200      0.07152945     -0.99743849
      0.00163200     -0.01993300      0.07974522     -0.99681528
      0.00188200     -0.01991100      0.09556067     -0.99542361
      0.00213200     -0.01988550      0.10737560     -0.99421853
      0.00238200     -0.01985700      0.11914522     -0.99287684
      0.00263150     -0.01982550      0.13138134     -0.99133190
      0.00288050     -0.01979100      0.14309054     -0.98970960
      0.00312900     -0.01975350      0.15534890     -0.98785967
      0.00337650     -0.01971250      0.17150950     -0.98518247
      0.00362400     -0.01966850      0.17853629     -0.98393333
      0.00387100     -0.01962150      0.19534940     -0.98073371
      0.00411700     -0.01957100      0.20681217     -0.97838066
      0.00436250     -0.01951800      0.21524196     -0.97656075
      0.00460750     -0.01946200      0.23036741     -0.97310372
      0.00485200     -0.01940250      0.24253563     -0.97014250
      0.00509550     -0.01934000      0.25468918     -0.96702297
      0.00533800     -0.01927450      0.26682218     -0.96374578
      0.00557950     -0.01920550      0.28259728     -0.95923865
      0.00582050     -0.01913350      0.28989718     -0.95705780
      0.00606050     -0.01905900      0.30303907     -0.95297813
      0.00629950     -0.01898150      0.31384315     -0.94947484
      0.00653750     -0.01890100      0.32697361     -0.94503347
      0.00677450     -0.01881750      0.33759410     -0.94129178
      0.00701050     -0.01873100      0.35068668     -0.93649285
      0.00724500     -0.01864150      0.36244626     -0.93200467
      0.00747900     -0.01854900      0.37275769     -0.92792872
      0.00771150     -0.01845350      0.38716463     -0.92201060
      0.00794250     -0.01835500      0.39727294     -0.91770050
      0.00817300     -0.01825350      0.40871407     -0.91266248
      0.00840200     -0.01814950      0.41830014     -0.90830887
      0.00862900     -0.01804250      0.43441467     -0.90071299
      0.00885500     -0.01793250      0.44084775     -0.89758190
      0.00908000     -0.01782000      0.45356814     -0.89122160
      0.00930300     -0.01770450      0.46623908     -0.88465876
      0.00952450     -0.01758600      0.47717961     -0.87880579
      0.00974500     -0.01746500      0.48496776     -0.87453203
      0.00996350     -0.01734100      0.50213552     -0.86478895
      0.01018050     -0.01721450      0.50510695     -0.86305676
      0.01039600     -0.01708550      0.52209470     -0.85288752
      0.01061000     -0.01695350      0.52785675     -0.84933342
      0.01082250     -0.01681900      0.54176388     -0.84053072
      0.01103300     -0.01668150      0.55194812     -0.83387845
      0.01124150     -0.01654150      0.56296510     -0.82648067
      0.01144800     -0.01639900      0.57292817     -0.81960558
      0.01165350     -0.01625350      0.58273717     -0.81266068
      0.01185700     -0.01610550      0.59360665     -0.80475533
      0.01205850     -0.01595550      0.60063625     -0.79952242
      0.01225800     -0.01580300      0.61394061     -0.78935222
      0.01245550     -0.01564750      0.62324164     -0.78202932
      0.01265100     -0.01548950      0.63388886     -0.77342415
      0.01284450     -0.01532950      0.64057567     -0.76789505
      0.01303650     -0.01516700      0.65144538     -0.75869554
      0.01322600     -0.01500200      0.66188534     -0.74960509
      0.01341350     -0.01483450      0.67049768     -0.74191163
      0.01359900     -0.01466450      0.68075643     -0.73250985
      0.01378200     -0.01449250      0.68895876     -0.72480054
      0.01396300     -0.01431850      0.69707839     -0.71699492
      0.01414200     -0.01414200      0.70710678     -0.70710678
      0.01431850     -0.01396300      0.71699492     -0.69707839
      0.01449250     -0.01378200      0.72480054     -0.68895876
      0.01466450     -0.01359900      0.73250985     -0.68075643
      0.01483450     -0.01341350      0.74191163     -0.67049768
      0.01500200     -0.01322600      0.74960509     -0.66188534
      0.01516700     -0.01303650      0.75869554     -0.65144538
      0.01532950     -0.01284450      0.76789505     -0.64057567
      0.01548950     -0.01265100      0.77342415     -0.63388886
      0.01564750     -0.01245550      0.78202932     -0.62324164
      0.01580300     -0.01225800      0.78935222     -0.61394061
      0.01595550     -0.01205850      0.79952242     -0.60063625
      0.01610550     -0.01185700      0.80475533     -0.59360665
      0.01625350     -0.01165350      0.81266068     -0.58273717
      0.01639900     -0.01144800      0.81960558     -0.57292817
      0.01654150     -0.01124150      0.82648067     -0.56296510
      0.01668150     -0.01103300      0.83387845     -0.55194812
      0.01681900     -0.01082250      0.84053072     -0.54176388
      0.01695350     -0.01061000      0.84933342     -0.52785675
      0.01708550     -0.01039600      0.85288752     -0.52209470
      0.01721450     -0.01018050      0.86305676     -0.50510695
      0.01734100     -0.00996350      0.86478895     -0.50213552
      0.01746500     -0.00974500      0.87453203     -0.48496776
      0.01758600     -0.00952450      0.87880579     -0.47717961
      0.01770450     -0.00930300      0.88465876     -0.46623908
      0.01782000     -0.00908000      0.89122160     -0.45356814
      0.01793250     -0.00885500      0.89758190     -0.44084775
      0.01804250     -0.00862900      0.90071299     -0.43441467
      0.01814950     -0.00840200      0.90830887     -0.41830014
      0.01825350     -0.00817300      0.91266248     -0.40871407
      0.01835500     -0.00794250      0.91770050     -0.39727294
      0.01845350     -0.00771150      0.92201060     -0.38716463
      0.01854900     -0.00747900      0.92792872     -0.37275769
      0.01864150     -0.00724500      0.93200467     -0.36244626
      0.01873100     -0.00701050      0.93649285     -0.35068668
      0.01881750     -0.00677450      0.94129178     -0.33759410
      0.01890100     -0.00653750      0.94503347     -0.32697361
      0.01898150     -0.00629950      0.94947484     -0.31384315
      0.01905900     -0.00606050      0.95297813     -0.30303907
      0.01913350     -0.00582050      0.95705780     -0.28989718
      0.01920550     -0.00557950      0.95923865     -0.28259728
      0.01927450     -0.00533800      0.96374578     -0.26682218
      0.01934000     -0.00509550      0.96702297     -0.25468918
      0.01940250     -0.00485200      0.97014250     -0.24253563
      0.01946200     -0.00460750      0.97310372     -0.23036741
      0.01951800     -0.00436250      0.97656075     -0.21524196
      0.01957100     -0.00411700      0.97838066     -0.20681217
      0.01962150     -0.00387100      0.98073371     -0.19534940
      0.01966850     -0.00362400      0.98393333     -0.17853629
      0.01971250     -0.00337650     -0.98518247      0.17150950
      0.01975350     -0.00312900     -0.98785967      0.15534890
      0.01979100     -0.00288050     -0.98970960      0.14309054
      0.01982550     -0.00263150     -0.99133190      0.13138134
      0.01985700     -0.00238200     -0.99287684      0.11914522
      0.01988550     -0.00213200     -0.99421853      0.10737560
      0.01991100     -0.00188200     -0.99542361      0.09556067
      0.01993300     -0.00163200     -0.99681528      0.07974522
      0.01995200     -0.00138150     -0.99743849      0.07152945
      0.01996800     -0.00113050     -0.99844809      0.05569033
      0.01998050     -0.00087950     -0.99904108      0.04378268
      0.01999000     -0.00062850     -0.99949246      0.03185633
      0.01999600     -0.00037700     -0.99987405      0.01587102
      0.01999900     -0.00012550     -0.99996826      0.00796787
